timestamp,signal,price,direction,system,log_time,bar_timestamp,symbol
2025-04-02 11:58:37.894767-04:00,-1,561.54,SHORT,live,2025-04-02T11:58:37.915874,2025-04-02 11:58:37.894767,SPY
2025-04-02 11:59:00.138236-04:00,-1,561.52,SHORT,live,2025-04-02T11:59:00.184895,2025-04-02 11:59:00.138236,SPY
2025-04-02 11:59:37.912416-04:00,-1,561.365,SHORT,live,2025-04-02T11:59:37.934451,2025-04-02 11:59:37.912416,SPY
2025-04-02 11:59:38.470479-04:00,-1,561.365,SHORT,live,2025-04-02T11:59:38.492835,2025-04-02 11:59:38.470479,SPY
2025-04-02 12:00:00.156365-04:00,-1,561.23,SHORT,live,2025-04-02T12:00:00.204829,2025-04-02 12:00:00.156365,SPY
2025-04-02 12:00:38.478055-04:00,-1,561.93,SHORT,live,2025-04-02T12:00:38.498417,2025-04-02 12:00:38.478055,SPY
2025-04-02 12:00:39.041444-04:00,-1,562.015,SHORT,live,2025-04-02T12:00:39.063787,2025-04-02 12:00:39.041444,SPY
2025-04-02 12:01:00.148894-04:00,-1,561.845,SHORT,live,2025-04-02T12:01:00.199794,2025-04-02 12:01:00.148894,SPY
2025-04-02 12:01:39.120679-04:00,-1,562.15,SHORT,live,2025-04-02T12:01:39.141074,2025-04-02 12:01:39.120679,SPY
2025-04-02 12:01:39.710602-04:00,-1,562.15,SHORT,live,2025-04-02T12:01:39.731552,2025-04-02 12:01:39.710602,SPY
2025-04-02 12:02:00.162260-04:00,-1,562.01,SHORT,live,2025-04-02T12:02:00.214651,2025-04-02 12:02:00.162260,SPY
2025-04-02 12:02:39.710472-04:00,-1,562.25,SHORT,live,2025-04-02T12:02:39.732743,2025-04-02 12:02:39.710472,SPY
2025-04-02 12:02:40.265938-04:00,-1,562.25,SHORT,live,2025-04-02T12:02:40.288220,2025-04-02 12:02:40.265938,SPY
